ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score,Event,Period
US1NJBT0037,39.9664,-74.8293,HAINESPORT TWP 0.8 SSE,12,1,8.33,0.5107979332619397,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1NJBT0040,39.9071,-74.717,SOUTHAMPTON TWP 0.5 S,12,12,100.0,11.15023112665367,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJBT0041,39.9296,-74.8779,MOUNT LAUREL TWP 1.9 SE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJCD0002,39.5058,-75.0381,VINELAND 3.5 NW,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJCN0001,39.9471,-75.0408,MERCHANTVILLE 0.5 ESE,12,3,25.0,0.0,Coastal,9,0,0.0,False,12.5,Sandy,Before
US1NJCN0005,39.7109,-74.9679,WINSLOW TWP 3.5 W,12,0,0.0,0.0,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJCN0011,39.81,-74.9357,BERLIN TWP 0.6 WNW,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJCN0015,39.8315,-75.0244,STRATFORD 0.5 WNW,12,1,8.33,0.0,Coastal,11,1,9.09,False,8.71,Sandy,Before
US1NJES0010,40.8255,-74.2531,VERONA TWP 0.7 SW,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJES0011,40.8648,-74.2157,CEDAR GROVE TWP 0.9 NE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJGL0001,39.7332,-75.1331,PITMAN 0.1 W,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJGL0004,39.7609,-75.1397,MANTUA TWP 1.5 E,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
