ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region
US1NJMD0015,40.4031,-74.5199,SOUTH BRUNSWICK TWP 1.3 NNE,12,12,100.0,29.787006803055856,Coastal
US1NJMD0018,40.497,-74.4291,HIGHLAND PARK 0.2 S,12,12,100.0,16.298637757299993,Coastal
US1NJMD0023,40.5789,-74.4014,SOUTH PLAINFIELD 0.8 ENE,12,3,25.0,16.180462533582517,Coastal
US1NJMD0024,40.5392,-74.4795,PISCATAWAY TWP 1.0 WSW,12,6,50.0,22.751253391423877,Coastal
US1NJMD0025,40.4698,-74.4607,NORTH BRUNSWICK TWP 1.7 NE,12,12,100.0,20.221427698835015,Coastal
US1NJMD0028,40.4897,-74.4409,NEW BRUNSWICK 0.3 NE,12,12,100.0,17.64741536107557,Coastal
US1NJMD0031,40.4513,-74.3129,OLD BRIDGE TWP 3.3 N,12,8,66.67,6.281659780039417,Coastal
US1NJMD0033,40.5835,-74.4284,SOUTH PLAINFIELD 0.9 NW,12,1,8.33,19.2598329573148,Coastal
US1NJMD0038,40.5629,-74.3669,EDISON TWP 1.9 N,12,12,100.0,11.95651176638922,Coastal
US1NJMD0039,40.4739,-74.4,EAST BRUNSWICK TWP 3.3 NNE,12,12,100.0,13.501511387431155,Coastal
US1NJMN0001,40.201,-74.009,BRADLEY BEACH 0.2 ESE,12,12,100.0,0.9510641496273194,Coastal
US1NJMN0005,40.2421,-74.0298,OCEAN TWP 0.8 SE,12,2,16.67,4.520559214361583,Coastal
US1NJMN0006,40.3622,-74.0833,RED BANK 1.3 NW,12,7,58.33,10.080839357040535,Coastal
US1NJMN0008,40.1678,-74.0261,LAKE COMO 0.2 S,12,1,8.33,1.678091701990598,Coastal
US1NJMN0010,40.3034,-74.04,EATONTOWN 1.2 NE,12,6,50.0,7.048979143498888,Coastal
US1NJMN0012,40.3204,-74.1927,COLTS NECK TWP 2.4 NW,12,12,100.0,17.610847045309686,Coastal
US1NJMN0015,40.3773,-74.1595,HOLMDEL TWP 0.7 E,12,0,0.0,9.87663338971015,Coastal
US1NJMN0016,40.2279,-74.3142,FREEHOLD TWP 1.0 WNW,12,9,75.0,33.6374122983408,Coastal
US1NJMN0017,40.1838,-74.2448,HOWELL TWP 2.5 W,12,0,0.0,25.971870550407324,Coastal
US1NJMN0019,40.2274,-74.0127,ASBURY PARK 0.3 N,12,0,0.0,2.252314929816571,Coastal
US1NJMN0020,40.1739,-74.0656,WALL TWP 1.7 ENE,12,0,0.0,6.163810344869599,Coastal
US1NJMN0024,40.18,-74.052,WALL TWP 2.5 ENE,12,0,0.0,4.888522421902869,Coastal
US1NJMN0029,40.427,-74.1071,MIDDLETOWN TWP 2.9 NNW,12,6,50.0,2.0390629816546646,Coastal
US1NJMN0032,40.3627,-74.0312,FAIR HAVEN 0.4 E,12,0,0.0,6.630462188155007,Coastal
US1NJMN0043,40.1533,-74.2028,HOWELL TWP 2.0 S,12,12,100.0,20.14753202222501,Coastal
US1NJMN0044,40.3716,-73.9972,RUMSON 0.7 NNE,12,0,0.0,2.8677342764567317,Coastal
US1NJMN0048,40.297,-74.0015,LONG BRANCH 0.5 W,12,0,0.0,2.682267639264959,Coastal
US1NJMN0049,40.1761,-74.0353,BELMAR 0.6 WSW,12,7,58.33,2.9481277897515468,Coastal
US1NJMN0051,40.3671,-73.9979,RUMSON 0.5 NE,12,0,0.0,2.9347193899640227,Coastal
US1NJMN0052,40.235,-74.4755,MILLSTONE TWP 2.9 WNW,12,12,100.0,40.93352755609876,Coastal
US1NJMN0055,40.251,-74.2819,FREEHOLD 0.7 SSW,12,11,91.67,29.28212841390922,Coastal
US1NJMS0002,40.667,-74.4827,LONG HILL TWP 1.2 SSE,12,0,0.0,29.952458991160213,Coastal
US1NJMS0003,40.8054,-74.5045,MORRIS TWP 0.8 NW,12,8,66.67,41.344987983241595,Coastal
US1NJMS0004,40.9658,-74.4878,ROCKAWAY TWP 0.7 NE,12,4,33.33,55.46823112014985,Rural
US1NJMS0006,40.9018,-74.5189,ROCKAWAY 0.4 NNW,12,0,0.0,52.102823566053125,Inland
US1NJMS0008,40.8232,-74.5484,RANDOLPH TWP 2.2 SE,12,12,100.0,46.82515746528438,Coastal
US1NJMS0009,40.8581,-74.658,ROXBURY TWP 1.7 S,12,6,50.0,59.77535559113621,Rural
US1NJMS0011,40.9096,-74.4141,BOONTON 0.6 NW,12,1,8.33,43.84944640329066,Coastal
US1NJMS0014,40.7556,-74.4098,MADISON 0.5 ESE,12,3,25.0,28.530401622000046,Coastal
US1NJMS0015,40.7836,-74.6325,MENDHAM TWP 2.0 W,12,2,16.67,51.93183484354749,Rural
US1NJMS0016,40.969,-74.371,KINNELON 1.4 SE,12,12,100.0,46.83827593907248,Coastal
US1NJMS0018,41.0127,-74.5103,JEFFERSON TWP 2.4 ENE,12,0,0.0,62.006260551493945,Rural
US1NJMS0019,40.6713,-74.5175,LONG HILL TWP 1.8 WSW,12,0,0.0,33.54888615653858,Coastal
US1NJMS0020,40.7741,-74.5222,HARDING TWP 2.6 NNW,12,12,100.0,40.40313932381671,Coastal
US1NJMS0021,40.8451,-74.5969,RANDOLPH TWP 0.8 W,12,0,0.0,53.08676654544025,Rural
US1NJMS0022,40.8763,-74.7807,MOUNT OLIVE TWP 2.1 WNW,12,0,0.0,72.8459691738161,Rural
US1NJMS0023,40.8821,-74.5944,MINE HILL TWP 0.4 NE,12,0,0.0,56.22642709190651,Inland
US1NJMS0025,40.8315,-74.5449,RANDOLPH TWP 2.1 ESE,12,12,100.0,47.25086114561941,Coastal
US1NJMS0031,40.9158,-74.4758,DENVILLE TWP 2.0 NNE,12,3,25.0,49.83558847505741,Coastal
US1NJMS0033,40.7856,-74.6858,CHESTER 0.3 ESE,12,12,100.0,57.47774451412466,Rural
US1NJMS0034,40.8558,-74.7476,MOUNT OLIVE TWP 0.8 SSW,12,12,100.0,68.16200334412187,Rural
US1NJMS0035,40.9008,-74.4893,DENVILLE TWP 0.8 N,12,0,0.0,49.735350951956804,Coastal
US1NJMS0036,40.8656,-74.3851,PARSIPPANY-TROY HILLS TWP 2.1,12,0,0.0,37.32262622173906,Coastal
US1NJMS0039,40.8533,-74.447,PARSIPPANY-TROY HILLS TWP 1.3,12,9,75.0,41.40449666042946,Coastal
US1NJMS0040,40.7481,-74.3908,CHATHAM 0.6 NW,12,10,83.33,26.194309015778583,Coastal
US1NJMS0042,40.8398,-74.5432,RANDOLPH TWP 2.0 E,12,6,50.0,47.86258737535394,Coastal
US1NJMS0049,40.778,-74.3992,FLORHAM PARK 0.2 WNW,12,0,0.0,29.845013943242932,Coastal
US1NJMS0051,40.8759,-74.6304,ROXBURY TWP 1.2 ESE,12,12,100.0,58.77999311924303,Inland
US1NJMS0054,40.8675,-74.7536,MOUNT OLIVE TWP 0.6 W,12,12,100.0,69.58159156323141,Rural
US1NJOC0001,40.0936,-74.103,BRICK TWP 2.4 N,12,2,16.67,6.463023131542311,Coastal
US1NJOC0004,39.5907,-74.3484,LITTLE EGG HARBOR TWP 0.4 SSW,12,12,100.0,3.04982756925197,Coastal
US1NJOC0006,40.0797,-74.0989,BRICK TWP 1.5 NNE,12,0,0.0,4.554808523639264,Coastal
US1NJOC0008,39.9847,-74.0726,LAVALLETTE 1.1 N,12,1,8.33,0.4432960985219343,Coastal
US1NJOC0009,39.9496,-74.1363,TOMS RIVER TWP 3.1 SSE,12,12,100.0,1.884784302474455,Coastal
US1NJOC0012,39.7287,-74.2894,STAFFORD TWP 2.1 NW,12,0,0.0,11.267826471527611,Coastal
US1NJOC0013,40.0878,-74.052,POINT PLEASANT BEACH 0.5 SW,12,0,0.0,2.515992554115213,Coastal
US1NJOC0017,39.8626,-74.141,LACEY TWP 6.3 E,12,0,0.0,1.3458803304765614,Coastal
US1NJOC0019,39.9409,-74.1749,PINE BEACH 0.4 NW,12,8,66.67,4.790045700064081,Coastal
US1NJOC0021,39.954,-74.0779,ORTLEY BEACH 0.3 W,12,12,100.0,0.2735743329861768,Coastal
US1NJOC0024,39.9331,-74.1455,BERKELEY TWP 2.9 ENE,12,2,16.67,1.4079868169644365,Coastal
US1NJOC0033,40.1535,-74.3859,JACKSON TWP 4.1 NNW,12,8,66.67,37.112282418800625,Coastal
US1NJOC0034,40.128,-74.293,JACKSON TWP 2.4 NE,12,3,25.0,26.160090854411305,Coastal
US1NJOC0035,39.9614,-74.1521,TOMS RIVER TWP 1.5 SE,12,12,100.0,4.121793319437509,Coastal
US1NJOC0036,39.6747,-74.3483,LITTLE EGG HARBOR TWP 5.4 N,12,0,0.0,11.907827331266917,Coastal
US1NJOC0038,40.1245,-74.1035,BRICK TWP 3.5 N,12,6,50.0,8.884452154634022,Coastal
US1NJOC0039,39.7372,-74.2855,STAFFORD TWP 2.5 NNW,12,12,100.0,10.6568814731295,Coastal
